id,values,kuantil,tahun,data_title
110101000,4286,ACEH,2000,Jumlah Tindak Pidana Menurut Kepolisian Daerah
110101010,3420,ACEH,2001,Jumlah Tindak Pidana Menurut Kepolisian Daerah
110101020,1668,ACEH,2002,Jumlah Tindak Pidana Menurut Kepolisian Daerah
110101030,2724,ACEH,2003,Jumlah Tindak Pidana Menurut Kepolisian Daerah
110101040,1873,ACEH,2004,Jumlah Tindak Pidana Menurut Kepolisian Daerah
110101050,2181,ACEH,2005,Jumlah Tindak Pidana Menurut Kepolisian Daerah
110101060,986,ACEH,2006,Jumlah Tindak Pidana Menurut Kepolisian Daerah
110101070,3053,ACEH,2007,Jumlah Tindak Pidana Menurut Kepolisian Daerah
110101080,1517,ACEH,2008,Jumlah Tindak Pidana Menurut Kepolisian Daerah
110101090,6297,ACEH,2009,Jumlah Tindak Pidana Menurut Kepolisian Daerah
110101100,9244,ACEH,2010,Jumlah Tindak Pidana Menurut Kepolisian Daerah
110101110,9114,ACEH,2011,Jumlah Tindak Pidana Menurut Kepolisian Daerah
110101120,9200,ACEH,2012,Jumlah Tindak Pidana Menurut Kepolisian Daerah
110101130,9150,ACEH,2013,Jumlah Tindak Pidana Menurut Kepolisian Daerah
110101140,7569,ACEH,2014,Jumlah Tindak Pidana Menurut Kepolisian Daerah
110101150,8048,ACEH,2015,Jumlah Tindak Pidana Menurut Kepolisian Daerah
110101160,9646,ACEH,2016,Jumlah Tindak Pidana Menurut Kepolisian Daerah
110101170,8885,ACEH,2017,Jumlah Tindak Pidana Menurut Kepolisian Daerah
110101180,8758,ACEH,2018,Jumlah Tindak Pidana Menurut Kepolisian Daerah
110101190,7483,ACEH,2019,Jumlah Tindak Pidana Menurut Kepolisian Daerah
110101200,7745,ACEH,2020,Jumlah Tindak Pidana Menurut Kepolisian Daerah
110101210,6651,ACEH,2021,Jumlah Tindak Pidana Menurut Kepolisian Daerah
210101000,15887,SUMATERA UTARA,2000,Jumlah Tindak Pidana Menurut Kepolisian Daerah
210101010,15395,SUMATERA UTARA,2001,Jumlah Tindak Pidana Menurut Kepolisian Daerah
210101020,15063,SUMATERA UTARA,2002,Jumlah Tindak Pidana Menurut Kepolisian Daerah
210101030,17530,SUMATERA UTARA,2003,Jumlah Tindak Pidana Menurut Kepolisian Daerah
210101040,20924,SUMATERA UTARA,2004,Jumlah Tindak Pidana Menurut Kepolisian Daerah
210101050,25111,SUMATERA UTARA,2005,Jumlah Tindak Pidana Menurut Kepolisian Daerah
210101060,27785,SUMATERA UTARA,2006,Jumlah Tindak Pidana Menurut Kepolisian Daerah
210101070,28642,SUMATERA UTARA,2007,Jumlah Tindak Pidana Menurut Kepolisian Daerah
210101080,26185,SUMATERA UTARA,2008,Jumlah Tindak Pidana Menurut Kepolisian Daerah
210101090,26597,SUMATERA UTARA,2009,Jumlah Tindak Pidana Menurut Kepolisian Daerah
210101100,33227,SUMATERA UTARA,2010,Jumlah Tindak Pidana Menurut Kepolisian Daerah
210101110,37610,SUMATERA UTARA,2011,Jumlah Tindak Pidana Menurut Kepolisian Daerah
210101120,33250,SUMATERA UTARA,2012,Jumlah Tindak Pidana Menurut Kepolisian Daerah
210101130,40709,SUMATERA UTARA,2013,Jumlah Tindak Pidana Menurut Kepolisian Daerah
210101140,35728,SUMATERA UTARA,2014,Jumlah Tindak Pidana Menurut Kepolisian Daerah
210101150,35248,SUMATERA UTARA,2015,Jumlah Tindak Pidana Menurut Kepolisian Daerah
210101160,37102,SUMATERA UTARA,2016,Jumlah Tindak Pidana Menurut Kepolisian Daerah
210101170,39867,SUMATERA UTARA,2017,Jumlah Tindak Pidana Menurut Kepolisian Daerah
210101180,32922,SUMATERA UTARA,2018,Jumlah Tindak Pidana Menurut Kepolisian Daerah
210101190,30831,SUMATERA UTARA,2019,Jumlah Tindak Pidana Menurut Kepolisian Daerah
210101200,32990,SUMATERA UTARA,2020,Jumlah Tindak Pidana Menurut Kepolisian Daerah
210101210,36534,SUMATERA UTARA,2021,Jumlah Tindak Pidana Menurut Kepolisian Daerah
310101000,4464,SUMATERA BARAT,2000,Jumlah Tindak Pidana Menurut Kepolisian Daerah
310101010,4879,SUMATERA BARAT,2001,Jumlah Tindak Pidana Menurut Kepolisian Daerah
310101020,4845,SUMATERA BARAT,2002,Jumlah Tindak Pidana Menurut Kepolisian Daerah
310101030,5842,SUMATERA BARAT,2003,Jumlah Tindak Pidana Menurut Kepolisian Daerah
310101040,5387,SUMATERA BARAT,2004,Jumlah Tindak Pidana Menurut Kepolisian Daerah
310101050,7203,SUMATERA BARAT,2005,Jumlah Tindak Pidana Menurut Kepolisian Daerah
310101060,9953,SUMATERA BARAT,2006,Jumlah Tindak Pidana Menurut Kepolisian Daerah
310101070,9499,SUMATERA BARAT,2007,Jumlah Tindak Pidana Menurut Kepolisian Daerah
310101080,10776,SUMATERA BARAT,2008,Jumlah Tindak Pidana Menurut Kepolisian Daerah
310101090,11848,SUMATERA BARAT,2009,Jumlah Tindak Pidana Menurut Kepolisian Daerah
310101100,10819,SUMATERA BARAT,2010,Jumlah Tindak Pidana Menurut Kepolisian Daerah
310101110,11695,SUMATERA BARAT,2011,Jumlah Tindak Pidana Menurut Kepolisian Daerah
310101120,13468,SUMATERA BARAT,2012,Jumlah Tindak Pidana Menurut Kepolisian Daerah
310101130,14324,SUMATERA BARAT,2013,Jumlah Tindak Pidana Menurut Kepolisian Daerah
