id,values,jenis_kelamin,tahun,data_title
1125301150,46.8,Laki - Laki,2015,Persentase Korban Kekerasan Dalam 12 Bulan Terakhir Yang Melaporkan Kepada Polisi Menurut Jenis Kelamin
2125301150,38.88,Perempuan,2015,Persentase Korban Kekerasan Dalam 12 Bulan Terakhir Yang Melaporkan Kepada Polisi Menurut Jenis Kelamin
