id,values,provinsi,tahun,data_title
620060101140,70.01,KALIMANTAN TENGAH,2014,Indeks Kebahagiaan Menurut Provinsi
620060101170,70.85,KALIMANTAN TENGAH,2017,Indeks Kebahagiaan Menurut Provinsi
620060101210,73.13,KALIMANTAN TENGAH,2021,Indeks Kebahagiaan Menurut Provinsi
630060101140,70.11,KALIMANTAN SELATAN,2014,Indeks Kebahagiaan Menurut Provinsi
630060101170,71.99,KALIMANTAN SELATAN,2017,Indeks Kebahagiaan Menurut Provinsi
630060101210,73.48,KALIMANTAN SELATAN,2021,Indeks Kebahagiaan Menurut Provinsi
640060101140,71.45,KALIMANTAN TIMUR,2014,Indeks Kebahagiaan Menurut Provinsi
640060101170,73.57,KALIMANTAN TIMUR,2017,Indeks Kebahagiaan Menurut Provinsi
640060101210,73.49,KALIMANTAN TIMUR,2021,Indeks Kebahagiaan Menurut Provinsi
650060101170,73.33,KALIMANTAN UTARA,2017,Indeks Kebahagiaan Menurut Provinsi
650060101210,76.33,KALIMANTAN UTARA,2021,Indeks Kebahagiaan Menurut Provinsi
710060101140,70.79,SULAWESI UTARA,2014,Indeks Kebahagiaan Menurut Provinsi
710060101170,73.69,SULAWESI UTARA,2017,Indeks Kebahagiaan Menurut Provinsi
710060101210,74.96,SULAWESI UTARA,2021,Indeks Kebahagiaan Menurut Provinsi
720060101140,67.92,SULAWESI TENGAH,2014,Indeks Kebahagiaan Menurut Provinsi
720060101170,71.92,SULAWESI TENGAH,2017,Indeks Kebahagiaan Menurut Provinsi
720060101210,74.46,SULAWESI TENGAH,2021,Indeks Kebahagiaan Menurut Provinsi
730060101140,69.8,SULAWESI SELATAN,2014,Indeks Kebahagiaan Menurut Provinsi
730060101170,71.91,SULAWESI SELATAN,2017,Indeks Kebahagiaan Menurut Provinsi
730060101210,73.07,SULAWESI SELATAN,2021,Indeks Kebahagiaan Menurut Provinsi
740060101140,68.66,SULAWESI TENGGARA,2014,Indeks Kebahagiaan Menurut Provinsi
740060101170,71.22,SULAWESI TENGGARA,2017,Indeks Kebahagiaan Menurut Provinsi
740060101210,73.98,SULAWESI TENGGARA,2021,Indeks Kebahagiaan Menurut Provinsi
750060101140,69.28,GORONTALO,2014,Indeks Kebahagiaan Menurut Provinsi
750060101170,73.19,GORONTALO,2017,Indeks Kebahagiaan Menurut Provinsi
750060101210,74.77,GORONTALO,2021,Indeks Kebahagiaan Menurut Provinsi
760060101140,67.86,SULAWESI BARAT,2014,Indeks Kebahagiaan Menurut Provinsi
760060101170,70.02,SULAWESI BARAT,2017,Indeks Kebahagiaan Menurut Provinsi
760060101210,73.46,SULAWESI BARAT,2021,Indeks Kebahagiaan Menurut Provinsi
810060101140,72.12,MALUKU,2014,Indeks Kebahagiaan Menurut Provinsi
810060101170,73.77,MALUKU,2017,Indeks Kebahagiaan Menurut Provinsi
810060101210,76.28,MALUKU,2021,Indeks Kebahagiaan Menurut Provinsi
820060101140,70.55,MALUKU UTARA,2014,Indeks Kebahagiaan Menurut Provinsi
820060101170,75.68,MALUKU UTARA,2017,Indeks Kebahagiaan Menurut Provinsi
820060101210,76.34,MALUKU UTARA,2021,Indeks Kebahagiaan Menurut Provinsi
910060101140,70.45,PAPUA BARAT,2014,Indeks Kebahagiaan Menurut Provinsi
910060101170,71.73,PAPUA BARAT,2017,Indeks Kebahagiaan Menurut Provinsi
910060101210,74.52,PAPUA BARAT,2021,Indeks Kebahagiaan Menurut Provinsi
940060101140,60.97,PAPUA,2014,Indeks Kebahagiaan Menurut Provinsi
940060101170,67.52,PAPUA,2017,Indeks Kebahagiaan Menurut Provinsi
940060101210,69.87,PAPUA,2021,Indeks Kebahagiaan Menurut Provinsi
