id,values,kelompok_umur,tahun,data_title
161001130,65.31,17-24,2013,Indeks Kebahagiaan Menurut Kelompok Umur
161001140,68.73,17-24,2014,Indeks Kebahagiaan Menurut Kelompok Umur
161001170,71.29,17-24,2017,Indeks Kebahagiaan Menurut Kelompok Umur
161001210,71.92,17-24,2021,Indeks Kebahagiaan Menurut Kelompok Umur
261001130,65.28,25-40,2013,Indeks Kebahagiaan Menurut Kelompok Umur
261001140,68.76,25-40,2014,Indeks Kebahagiaan Menurut Kelompok Umur
261001170,71.13,25-40,2017,Indeks Kebahagiaan Menurut Kelompok Umur
261001210,72.39,25-40,2021,Indeks Kebahagiaan Menurut Kelompok Umur
361001130,65.12,41-64,2013,Indeks Kebahagiaan Menurut Kelompok Umur
361001140,68.37,41-64,2014,Indeks Kebahagiaan Menurut Kelompok Umur
361001170,70.69,41-64,2017,Indeks Kebahagiaan Menurut Kelompok Umur
361001210,71.42,41-64,2021,Indeks Kebahagiaan Menurut Kelompok Umur
461001130,63.94,65+,2013,Indeks Kebahagiaan Menurut Kelompok Umur
461001140,66.24,65+,2014,Indeks Kebahagiaan Menurut Kelompok Umur
461001170,69.18,65+,2017,Indeks Kebahagiaan Menurut Kelompok Umur
461001210,69.47,65+,2021,Indeks Kebahagiaan Menurut Kelompok Umur
