id,values,area,tahun,data_title
160401130,64.32,Desa,,Indeks Kebahagiaan Menurut Klasifikasi Wilayah
160401140,66.95,Desa,,Indeks Kebahagiaan Menurut Klasifikasi Wilayah
160401170,69.57,Desa,,Indeks Kebahagiaan Menurut Klasifikasi Wilayah
160401210,71.17,Desa,,Indeks Kebahagiaan Menurut Klasifikasi Wilayah
260401130,65.92,Kota,,Indeks Kebahagiaan Menurut Klasifikasi Wilayah
260401140,69.62,Kota,,Indeks Kebahagiaan Menurut Klasifikasi Wilayah
260401170,71.64,Kota,,Indeks Kebahagiaan Menurut Klasifikasi Wilayah
260401210,71.73,Kota,,Indeks Kebahagiaan Menurut Klasifikasi Wilayah
