id,values,kelompok_umur,tahun,data_title
161101130,64.38,Kepala Rumah Tangga,2013,Indeks Kebahagiaan Menurut Kedudukan Dalam Rumah Tangga
161101140,67.57,Kepala Rumah Tangga,2014,Indeks Kebahagiaan Menurut Kedudukan Dalam Rumah Tangga
161101170,70.54,Kepala Rumah Tangga,2017,Indeks Kebahagiaan Menurut Kedudukan Dalam Rumah Tangga
161101210,71.2,Kepala Rumah Tangga,2021,Indeks Kebahagiaan Menurut Kedudukan Dalam Rumah Tangga
261101130,65.97,Pasangan Kepala Rumah Tangga,2013,Indeks Kebahagiaan Menurut Kedudukan Dalam Rumah Tangga
261101140,69.45,Pasangan Kepala Rumah Tangga,2014,Indeks Kebahagiaan Menurut Kedudukan Dalam Rumah Tangga
261101170,70.94,Pasangan Kepala Rumah Tangga,2017,Indeks Kebahagiaan Menurut Kedudukan Dalam Rumah Tangga
261101210,71.99,Pasangan Kepala Rumah Tangga,2021,Indeks Kebahagiaan Menurut Kedudukan Dalam Rumah Tangga
