id,values,dimensi,tahun,label,data_title
110041401100,69.08,ACEH,2010,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110041401110,69.15,ACEH,2011,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110041401120,69.23,ACEH,2012,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110041401130,69.31,ACEH,2013,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110041401140,69.35,ACEH,2014,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110041401150,69.5,ACEH,2015,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110041401160,69.51,ACEH,2016,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110041401170,69.52,ACEH,2017,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110041401180,69.64,ACEH,2018,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110041401190,69.87,ACEH,2019,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110041401200,69.93,ACEH,2020,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110041401210,69.96,ACEH,2021,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110041401220,70.18,ACEH,2022,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110141401100,64.05,Simeulue,2010,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110141401110,64.15,Simeulue,2011,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110141401120,64.22,Simeulue,2012,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110141401130,64.23,Simeulue,2013,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110141401140,64.24,Simeulue,2014,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110141401150,64.66,Simeulue,2015,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110141401160,64.78,Simeulue,2016,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110141401170,64.9,Simeulue,2017,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110141401180,65.0,Simeulue,2018,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110141401190,65.22,Simeulue,2019,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110141401200,65.26,Simeulue,2020,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110141401210,65.28,Simeulue,2021,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110141401220,65.48,Simeulue,2022,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110241401100,66.71,Aceh Singkil,2010,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110241401110,66.76,Aceh Singkil,2011,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110241401120,66.85,Aceh Singkil,2012,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110241401130,66.91,Aceh Singkil,2013,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
110241401140,66.94,Aceh Singkil,2014,,[Metode Baru] Umur Harapan Hidup Saat Lahir (UHH)
