id,values,dimensi,tahun,label,data_title
999930960,64.4,INDONESIA,1996,Tidak Ada,Angka Harapan Hidup
999930990,66.2,INDONESIA,1999,Tidak Ada,Angka Harapan Hidup
9999301020,66.2,INDONESIA,2002,Tidak Ada,Angka Harapan Hidup
9999301040,67.6,INDONESIA,2004,Tidak Ada,Angka Harapan Hidup
9999301050,68.08,INDONESIA,2005,Tidak Ada,Angka Harapan Hidup
9999301060,68.47,INDONESIA,2006,Tidak Ada,Angka Harapan Hidup
9999301070,68.7,INDONESIA,2007,Tidak Ada,Angka Harapan Hidup
9999301080,69.0,INDONESIA,2008,Tidak Ada,Angka Harapan Hidup
9999301090,69.21,INDONESIA,2009,Tidak Ada,Angka Harapan Hidup
9999301100,69.43,INDONESIA,2010,Tidak Ada,Angka Harapan Hidup
9999301110,69.65,INDONESIA,2011,Tidak Ada,Angka Harapan Hidup
9999301120,69.87,INDONESIA,2012,Tidak Ada,Angka Harapan Hidup
9999301130,70.07,INDONESIA,2013,Tidak Ada,Angka Harapan Hidup
110030960,66.4,&lt;b&gt;ACEH&lt;/b&gt;,1996,Tidak Ada,Angka Harapan Hidup
110030990,67.6,&lt;b&gt;ACEH&lt;/b&gt;,1999,Tidak Ada,Angka Harapan Hidup
1100301020,67.7,&lt;b&gt;ACEH&lt;/b&gt;,2002,Tidak Ada,Angka Harapan Hidup
1100301040,67.9,&lt;b&gt;ACEH&lt;/b&gt;,2004,Tidak Ada,Angka Harapan Hidup
1100301050,67.95,&lt;b&gt;ACEH&lt;/b&gt;,2005,Tidak Ada,Angka Harapan Hidup
1100301060,68.3,&lt;b&gt;ACEH&lt;/b&gt;,2006,Tidak Ada,Angka Harapan Hidup
1100301070,68.4,&lt;b&gt;ACEH&lt;/b&gt;,2007,Tidak Ada,Angka Harapan Hidup
1100301080,68.5,&lt;b&gt;ACEH&lt;/b&gt;,2008,Tidak Ada,Angka Harapan Hidup
1100301090,68.6,&lt;b&gt;ACEH&lt;/b&gt;,2009,Tidak Ada,Angka Harapan Hidup
1100301100,68.7,&lt;b&gt;ACEH&lt;/b&gt;,2010,Tidak Ada,Angka Harapan Hidup
1100301110,68.8,&lt;b&gt;ACEH&lt;/b&gt;,2011,Tidak Ada,Angka Harapan Hidup
1100301120,68.94,&lt;b&gt;ACEH&lt;/b&gt;,2012,Tidak Ada,Angka Harapan Hidup
1100301130,69.4,&lt;b&gt;ACEH&lt;/b&gt;,2013,Tidak Ada,Angka Harapan Hidup
120030960,65.7,&lt;b&gt;SUMATERA UTARA&lt;/b&gt;,1996,Tidak Ada,Angka Harapan Hidup
120030990,67.1,&lt;b&gt;SUMATERA UTARA&lt;/b&gt;,1999,Tidak Ada,Angka Harapan Hidup
1200301020,67.3,&lt;b&gt;SUMATERA UTARA&lt;/b&gt;,2002,Tidak Ada,Angka Harapan Hidup
1200301040,68.16,&lt;b&gt;SUMATERA UTARA&lt;/b&gt;,2004,Tidak Ada,Angka Harapan Hidup
1200301050,68.7,&lt;b&gt;SUMATERA UTARA&lt;/b&gt;,2005,Tidak Ada,Angka Harapan Hidup
1200301060,68.9,&lt;b&gt;SUMATERA UTARA&lt;/b&gt;,2006,Tidak Ada,Angka Harapan Hidup
1200301070,69.1,&lt;b&gt;SUMATERA UTARA&lt;/b&gt;,2007,Tidak Ada,Angka Harapan Hidup
1200301080,69.2,&lt;b&gt;SUMATERA UTARA&lt;/b&gt;,2008,Tidak Ada,Angka Harapan Hidup
1200301090,69.35,&lt;b&gt;SUMATERA UTARA&lt;/b&gt;,2009,Tidak Ada,Angka Harapan Hidup
1200301100,69.5,&lt;b&gt;SUMATERA UTARA&lt;/b&gt;,2010,Tidak Ada,Angka Harapan Hidup
1200301110,69.65,&lt;b&gt;SUMATERA UTARA&lt;/b&gt;,2011,Tidak Ada,Angka Harapan Hidup
1200301120,69.81,&lt;b&gt;SUMATERA UTARA&lt;/b&gt;,2012,Tidak Ada,Angka Harapan Hidup
1200301130,69.9,&lt;b&gt;SUMATERA UTARA&lt;/b&gt;,2013,Tidak Ada,Angka Harapan Hidup
130030960,63.8,&lt;b&gt;SUMATERA BARAT&lt;/b&gt;,1996,Tidak Ada,Angka Harapan Hidup
130030990,65.5,&lt;b&gt;SUMATERA BARAT&lt;/b&gt;,1999,Tidak Ada,Angka Harapan Hidup
1300301020,66.1,&lt;b&gt;SUMATERA BARAT&lt;/b&gt;,2002,Tidak Ada,Angka Harapan Hidup
1300301040,67.6,&lt;b&gt;SUMATERA BARAT&lt;/b&gt;,2004,Tidak Ada,Angka Harapan Hidup
1300301050,68.23,&lt;b&gt;SUMATERA BARAT&lt;/b&gt;,2005,Tidak Ada,Angka Harapan Hidup
1300301060,68.5,&lt;b&gt;SUMATERA BARAT&lt;/b&gt;,2006,Tidak Ada,Angka Harapan Hidup
1300301070,68.8,&lt;b&gt;SUMATERA BARAT&lt;/b&gt;,2007,Tidak Ada,Angka Harapan Hidup
1300301080,69.0,&lt;b&gt;SUMATERA BARAT&lt;/b&gt;,2008,Tidak Ada,Angka Harapan Hidup
1300301090,69.25,&lt;b&gt;SUMATERA BARAT&lt;/b&gt;,2009,Tidak Ada,Angka Harapan Hidup
1300301100,69.5,&lt;b&gt;SUMATERA BARAT&lt;/b&gt;,2010,Tidak Ada,Angka Harapan Hidup
1300301110,69.76,&lt;b&gt;SUMATERA BARAT&lt;/b&gt;,2011,Tidak Ada,Angka Harapan Hidup
1300301120,70.02,&lt;b&gt;SUMATERA BARAT&lt;/b&gt;,2012,Tidak Ada,Angka Harapan Hidup
1300301130,70.09,&lt;b&gt;SUMATERA BARAT&lt;/b&gt;,2013,Tidak Ada,Angka Harapan Hidup
140030960,66.9,&lt;b&gt;RIAU&lt;/b&gt;,1996,Tidak Ada,Angka Harapan Hidup
140030990,67.8,&lt;b&gt;RIAU&lt;/b&gt;,1999,Tidak Ada,Angka Harapan Hidup
1400301020,68.1,&lt;b&gt;RIAU&lt;/b&gt;,2002,Tidak Ada,Angka Harapan Hidup
1400301040,69.8,&lt;b&gt;RIAU&lt;/b&gt;,2004,Tidak Ada,Angka Harapan Hidup
1400301050,70.73,&lt;b&gt;RIAU&lt;/b&gt;,2005,Tidak Ada,Angka Harapan Hidup
1400301060,70.8,&lt;b&gt;RIAU&lt;/b&gt;,2006,Tidak Ada,Angka Harapan Hidup
