id,values,dimensi,tahun,label,data_title
110041701100,12.9,ACEH,2010,,[Metode Baru] Harapan Lama Sekolah
110041701110,13.03,ACEH,2011,,[Metode Baru] Harapan Lama Sekolah
110041701120,13.19,ACEH,2012,,[Metode Baru] Harapan Lama Sekolah
110041701130,13.36,ACEH,2013,,[Metode Baru] Harapan Lama Sekolah
110041701140,13.53,ACEH,2014,,[Metode Baru] Harapan Lama Sekolah
110041701150,13.73,ACEH,2015,,[Metode Baru] Harapan Lama Sekolah
110041701160,13.89,ACEH,2016,,[Metode Baru] Harapan Lama Sekolah
110041701170,14.13,ACEH,2017,,[Metode Baru] Harapan Lama Sekolah
110041701180,14.27,ACEH,2018,,[Metode Baru] Harapan Lama Sekolah
110041701190,14.3,ACEH,2019,,[Metode Baru] Harapan Lama Sekolah
110041701200,14.31,ACEH,2020,,[Metode Baru] Harapan Lama Sekolah
110041701210,14.36,ACEH,2021,,[Metode Baru] Harapan Lama Sekolah
110041701220,14.37,ACEH,2022,,[Metode Baru] Harapan Lama Sekolah
110141701100,12.45,Simeulue,2010,,[Metode Baru] Harapan Lama Sekolah
110141701110,12.66,Simeulue,2011,,[Metode Baru] Harapan Lama Sekolah
110141701120,12.67,Simeulue,2012,,[Metode Baru] Harapan Lama Sekolah
110141701130,12.67,Simeulue,2013,,[Metode Baru] Harapan Lama Sekolah
110141701140,12.75,Simeulue,2014,,[Metode Baru] Harapan Lama Sekolah
110141701150,12.83,Simeulue,2015,,[Metode Baru] Harapan Lama Sekolah
110141701160,13.07,Simeulue,2016,,[Metode Baru] Harapan Lama Sekolah
110141701170,13.23,Simeulue,2017,,[Metode Baru] Harapan Lama Sekolah
110141701180,13.25,Simeulue,2018,,[Metode Baru] Harapan Lama Sekolah
110141701190,13.51,Simeulue,2019,,[Metode Baru] Harapan Lama Sekolah
110141701200,13.76,Simeulue,2020,,[Metode Baru] Harapan Lama Sekolah
110141701210,13.9,Simeulue,2021,,[Metode Baru] Harapan Lama Sekolah
110141701220,14.08,Simeulue,2022,,[Metode Baru] Harapan Lama Sekolah
110241701100,12.41,Aceh Singkil,2010,,[Metode Baru] Harapan Lama Sekolah
110241701110,12.84,Aceh Singkil,2011,,[Metode Baru] Harapan Lama Sekolah
110241701120,13.49,Aceh Singkil,2012,,[Metode Baru] Harapan Lama Sekolah
110241701130,13.85,Aceh Singkil,2013,,[Metode Baru] Harapan Lama Sekolah
110241701140,14.05,Aceh Singkil,2014,,[Metode Baru] Harapan Lama Sekolah
110241701150,14.26,Aceh Singkil,2015,,[Metode Baru] Harapan Lama Sekolah
110241701160,14.27,Aceh Singkil,2016,,[Metode Baru] Harapan Lama Sekolah
110241701170,14.28,Aceh Singkil,2017,,[Metode Baru] Harapan Lama Sekolah
110241701180,14.29,Aceh Singkil,2018,,[Metode Baru] Harapan Lama Sekolah
110241701190,14.3,Aceh Singkil,2019,,[Metode Baru] Harapan Lama Sekolah
110241701200,14.31,Aceh Singkil,2020,,[Metode Baru] Harapan Lama Sekolah
110241701210,14.32,Aceh Singkil,2021,,[Metode Baru] Harapan Lama Sekolah
110241701220,14.34,Aceh Singkil,2022,,[Metode Baru] Harapan Lama Sekolah
110341701100,12.35,Aceh Selatan,2010,,[Metode Baru] Harapan Lama Sekolah
110341701110,12.51,Aceh Selatan,2011,,[Metode Baru] Harapan Lama Sekolah
110341701120,12.57,Aceh Selatan,2012,,[Metode Baru] Harapan Lama Sekolah
110341701130,13.01,Aceh Selatan,2013,,[Metode Baru] Harapan Lama Sekolah
110341701140,13.05,Aceh Selatan,2014,,[Metode Baru] Harapan Lama Sekolah
110341701150,13.24,Aceh Selatan,2015,,[Metode Baru] Harapan Lama Sekolah
110341701160,13.53,Aceh Selatan,2016,,[Metode Baru] Harapan Lama Sekolah
