id,values,dimensi,tahun,label,data_title
9999150501170,0.63,INDONESIA,2017,,[Metode Baru] Selisih IPM
9999150501180,0.58,INDONESIA,2018,,[Metode Baru] Selisih IPM
9999150501190,0.53,INDONESIA,2019,,[Metode Baru] Selisih IPM
9999150501200,0.02,INDONESIA,2020,,[Metode Baru] Selisih IPM
9999150501210,0.35,INDONESIA,2021,,[Metode Baru] Selisih IPM
9999150501220,0.62,INDONESIA,2022,,[Metode Baru] Selisih IPM
1100150501170,0.6,&lt;b&gt;ACEH&lt;/b&gt;,2017,,[Metode Baru] Selisih IPM
1100150501180,0.59,&lt;b&gt;ACEH&lt;/b&gt;,2018,,[Metode Baru] Selisih IPM
1100150501190,0.71,&lt;b&gt;ACEH&lt;/b&gt;,2019,,[Metode Baru] Selisih IPM
1100150501200,0.09,&lt;b&gt;ACEH&lt;/b&gt;,2020,,[Metode Baru] Selisih IPM
1100150501210,0.19,&lt;b&gt;ACEH&lt;/b&gt;,2021,,[Metode Baru] Selisih IPM
1100150501220,0.62,&lt;b&gt;ACEH&lt;/b&gt;,2022,,[Metode Baru] Selisih IPM
1200150501170,0.57,&lt;b&gt;SUMATERA UTARA&lt;/b&gt;,2017,,[Metode Baru] Selisih IPM
1200150501180,0.61,&lt;b&gt;SUMATERA UTARA&lt;/b&gt;,2018,,[Metode Baru] Selisih IPM
1200150501190,0.56,&lt;b&gt;SUMATERA UTARA&lt;/b&gt;,2019,,[Metode Baru] Selisih IPM
1200150501200,0.03,&lt;b&gt;SUMATERA UTARA&lt;/b&gt;,2020,,[Metode Baru] Selisih IPM
1200150501210,0.23,&lt;b&gt;SUMATERA UTARA&lt;/b&gt;,2021,,[Metode Baru] Selisih IPM
1200150501220,0.71,&lt;b&gt;SUMATERA UTARA&lt;/b&gt;,2022,,[Metode Baru] Selisih IPM
1300150501170,0.51,&lt;b&gt;SUMATERA BARAT&lt;/b&gt;,2017,,[Metode Baru] Selisih IPM
1300150501180,0.49,&lt;b&gt;SUMATERA BARAT&lt;/b&gt;,2018,,[Metode Baru] Selisih IPM
1300150501190,0.66,&lt;b&gt;SUMATERA BARAT&lt;/b&gt;,2019,,[Metode Baru] Selisih IPM
1300150501200,-0.01,&lt;b&gt;SUMATERA BARAT&lt;/b&gt;,2020,,[Metode Baru] Selisih IPM
1300150501210,0.27,&lt;b&gt;SUMATERA BARAT&lt;/b&gt;,2021,,[Metode Baru] Selisih IPM
1300150501220,0.61,&lt;b&gt;SUMATERA BARAT&lt;/b&gt;,2022,,[Metode Baru] Selisih IPM
1400150501170,0.59,&lt;b&gt;RIAU&lt;/b&gt;,2017,,[Metode Baru] Selisih IPM
1400150501180,0.65,&lt;b&gt;RIAU&lt;/b&gt;,2018,,[Metode Baru] Selisih IPM
1400150501190,0.56,&lt;b&gt;RIAU&lt;/b&gt;,2019,,[Metode Baru] Selisih IPM
1400150501200,-0.29,&lt;b&gt;RIAU&lt;/b&gt;,2020,,[Metode Baru] Selisih IPM
1400150501210,0.23,&lt;b&gt;RIAU&lt;/b&gt;,2021,,[Metode Baru] Selisih IPM
1400150501220,0.58,&lt;b&gt;RIAU&lt;/b&gt;,2022,,[Metode Baru] Selisih IPM
1500150501170,0.37,&lt;b&gt;JAMBI&lt;/b&gt;,2017,,[Metode Baru] Selisih IPM
1500150501180,0.66,&lt;b&gt;JAMBI&lt;/b&gt;,2018,,[Metode Baru] Selisih IPM
1500150501190,0.61,&lt;b&gt;JAMBI&lt;/b&gt;,2019,,[Metode Baru] Selisih IPM
1500150501200,0.03,&lt;b&gt;JAMBI&lt;/b&gt;,2020,,[Metode Baru] Selisih IPM
1500150501210,0.34,&lt;b&gt;JAMBI&lt;/b&gt;,2021,,[Metode Baru] Selisih IPM
1500150501220,0.51,&lt;b&gt;JAMBI&lt;/b&gt;,2022,,[Metode Baru] Selisih IPM
1600150501170,0.62,&lt;b&gt;SUMATERA SELATAN&lt;/b&gt;,2017,,[Metode Baru] Selisih IPM
1600150501180,0.53,&lt;b&gt;SUMATERA SELATAN&lt;/b&gt;,2018,,[Metode Baru] Selisih IPM
1600150501190,0.63,&lt;b&gt;SUMATERA SELATAN&lt;/b&gt;,2019,,[Metode Baru] Selisih IPM
1600150501200,-0.01,&lt;b&gt;SUMATERA SELATAN&lt;/b&gt;,2020,,[Metode Baru] Selisih IPM
1600150501210,0.23,&lt;b&gt;SUMATERA SELATAN&lt;/b&gt;,2021,,[Metode Baru] Selisih IPM
1600150501220,0.66,&lt;b&gt;SUMATERA SELATAN&lt;/b&gt;,2022,,[Metode Baru] Selisih IPM
1700150501170,0.62,&lt;b&gt;BENGKULU&lt;/b&gt;,2017,,[Metode Baru] Selisih IPM
1700150501180,0.69,&lt;b&gt;BENGKULU&lt;/b&gt;,2018,,[Metode Baru] Selisih IPM
1700150501190,0.57,&lt;b&gt;BENGKULU&lt;/b&gt;,2019,,[Metode Baru] Selisih IPM
1700150501200,0.19,&lt;b&gt;BENGKULU&lt;/b&gt;,2020,,[Metode Baru] Selisih IPM
1700150501210,0.24,&lt;b&gt;BENGKULU&lt;/b&gt;,2021,,[Metode Baru] Selisih IPM
1700150501220,0.52,&lt;b&gt;BENGKULU&lt;/b&gt;,2022,,[Metode Baru] Selisih IPM
1800150501170,0.6,&lt;b&gt;LAMPUNG&lt;/b&gt;,2017,,[Metode Baru] Selisih IPM
1800150501180,0.77,&lt;b&gt;LAMPUNG&lt;/b&gt;,2018,,[Metode Baru] Selisih IPM
1800150501190,0.55,&lt;b&gt;LAMPUNG&lt;/b&gt;,2019,,[Metode Baru] Selisih IPM
1800150501200,0.12,&lt;b&gt;LAMPUNG&lt;/b&gt;,2020,,[Metode Baru] Selisih IPM
1800150501210,0.21,&lt;b&gt;LAMPUNG&lt;/b&gt;,2021,,[Metode Baru] Selisih IPM
1800150501220,0.55,&lt;b&gt;LAMPUNG&lt;/b&gt;,2022,,[Metode Baru] Selisih IPM
1900150501170,0.44,&lt;b&gt;KEP. BANGKA BELITUNG&lt;/b&gt;,2017,,[Metode Baru] Selisih IPM
1900150501180,0.68,&lt;b&gt;KEP. BANGKA BELITUNG&lt;/b&gt;,2018,,[Metode Baru] Selisih IPM
1900150501190,0.63,&lt;b&gt;KEP. BANGKA BELITUNG&lt;/b&gt;,2019,,[Metode Baru] Selisih IPM
1900150501200,0.17,&lt;b&gt;KEP. BANGKA BELITUNG&lt;/b&gt;,2020,,[Metode Baru] Selisih IPM
1900150501210,0.22,&lt;b&gt;KEP. BANGKA BELITUNG&lt;/b&gt;,2021,,[Metode Baru] Selisih IPM
1900150501220,0.55,&lt;b&gt;KEP. BANGKA BELITUNG&lt;/b&gt;,2022,,[Metode Baru] Selisih IPM
2100150501170,0.46,&lt;b&gt;KEP. RIAU&lt;/b&gt;,2017,,[Metode Baru] Selisih IPM
2100150501180,0.39,&lt;b&gt;KEP. RIAU&lt;/b&gt;,2018,,[Metode Baru] Selisih IPM
2100150501190,0.64,&lt;b&gt;KEP. RIAU&lt;/b&gt;,2019,,[Metode Baru] Selisih IPM
2100150501200,0.11,&lt;b&gt;KEP. RIAU&lt;/b&gt;,2020,,[Metode Baru] Selisih IPM
2100150501210,0.2,&lt;b&gt;KEP. RIAU&lt;/b&gt;,2021,,[Metode Baru] Selisih IPM
2100150501220,0.67,&lt;b&gt;KEP. RIAU&lt;/b&gt;,2022,,[Metode Baru] Selisih IPM
3100150501170,0.46,&lt;b&gt;DKI JAKARTA&lt;/b&gt;,2017,,[Metode Baru] Selisih IPM
3100150501180,0.41,&lt;b&gt;DKI JAKARTA&lt;/b&gt;,2018,,[Metode Baru] Selisih IPM
3100150501190,0.29,&lt;b&gt;DKI JAKARTA&lt;/b&gt;,2019,,[Metode Baru] Selisih IPM
3100150501200,0.01,&lt;b&gt;DKI JAKARTA&lt;/b&gt;,2020,,[Metode Baru] Selisih IPM
3100150501210,0.34,&lt;b&gt;DKI JAKARTA&lt;/b&gt;,2021,,[Metode Baru] Selisih IPM
3100150501220,0.54,&lt;b&gt;DKI JAKARTA&lt;/b&gt;,2022,,[Metode Baru] Selisih IPM
3200150501170,0.64,&lt;b&gt;JAWA BARAT&lt;/b&gt;,2017,,[Metode Baru] Selisih IPM
3200150501180,0.61,&lt;b&gt;JAWA BARAT&lt;/b&gt;,2018,,[Metode Baru] Selisih IPM
3200150501190,0.73,&lt;b&gt;JAWA BARAT&lt;/b&gt;,2019,,[Metode Baru] Selisih IPM
3200150501200,0.06,&lt;b&gt;JAWA BARAT&lt;/b&gt;,2020,,[Metode Baru] Selisih IPM
3200150501210,0.36,&lt;b&gt;JAWA BARAT&lt;/b&gt;,2021,,[Metode Baru] Selisih IPM
3200150501220,0.67,&lt;b&gt;JAWA BARAT&lt;/b&gt;,2022,,[Metode Baru] Selisih IPM
3300150501170,0.54,&lt;b&gt;JAWA TENGAH&lt;/b&gt;,2017,,[Metode Baru] Selisih IPM
3300150501180,0.6,&lt;b&gt;JAWA TENGAH&lt;/b&gt;,2018,,[Metode Baru] Selisih IPM
3300150501190,0.61,&lt;b&gt;JAWA TENGAH&lt;/b&gt;,2019,,[Metode Baru] Selisih IPM
3300150501200,0.14,&lt;b&gt;JAWA TENGAH&lt;/b&gt;,2020,,[Metode Baru] Selisih IPM
3300150501210,0.29,&lt;b&gt;JAWA TENGAH&lt;/b&gt;,2021,,[Metode Baru] Selisih IPM
3300150501220,0.63,&lt;b&gt;JAWA TENGAH&lt;/b&gt;,2022,,[Metode Baru] Selisih IPM
3400150501170,0.51,&lt;b&gt;DI YOGYAKARTA&lt;/b&gt;,2017,,[Metode Baru] Selisih IPM
3400150501180,0.64,&lt;b&gt;DI YOGYAKARTA&lt;/b&gt;,2018,,[Metode Baru] Selisih IPM
3400150501190,0.46,&lt;b&gt;DI YOGYAKARTA&lt;/b&gt;,2019,,[Metode Baru] Selisih IPM
3400150501200,-0.02,&lt;b&gt;DI YOGYAKARTA&lt;/b&gt;,2020,,[Metode Baru] Selisih IPM
3400150501210,0.25,&lt;b&gt;DI YOGYAKARTA&lt;/b&gt;,2021,,[Metode Baru] Selisih IPM
3400150501220,0.42,&lt;b&gt;DI YOGYAKARTA&lt;/b&gt;,2022,,[Metode Baru] Selisih IPM
3500150501170,0.53,&lt;b&gt;JAWA TIMUR&lt;/b&gt;,2017,,[Metode Baru] Selisih IPM
3500150501180,0.5,&lt;b&gt;JAWA TIMUR&lt;/b&gt;,2018,,[Metode Baru] Selisih IPM
3500150501190,0.73,&lt;b&gt;JAWA TIMUR&lt;/b&gt;,2019,,[Metode Baru] Selisih IPM
3500150501200,0.21,&lt;b&gt;JAWA TIMUR&lt;/b&gt;,2020,,[Metode Baru] Selisih IPM
3500150501210,0.43,&lt;b&gt;JAWA TIMUR&lt;/b&gt;,2021,,[Metode Baru] Selisih IPM
3500150501220,0.61,&lt;b&gt;JAWA TIMUR&lt;/b&gt;,2022,,[Metode Baru] Selisih IPM
3600150501170,0.46,&lt;b&gt;BANTEN&lt;/b&gt;,2017,,[Metode Baru] Selisih IPM
3600150501180,0.53,&lt;b&gt;BANTEN&lt;/b&gt;,2018,,[Metode Baru] Selisih IPM
3600150501190,0.49,&lt;b&gt;BANTEN&lt;/b&gt;,2019,,[Metode Baru] Selisih IPM
3600150501200,0.01,&lt;b&gt;BANTEN&lt;/b&gt;,2020,,[Metode Baru] Selisih IPM
3600150501210,0.27,&lt;b&gt;BANTEN&lt;/b&gt;,2021,,[Metode Baru] Selisih IPM
3600150501220,0.6,&lt;b&gt;BANTEN&lt;/b&gt;,2022,,[Metode Baru] Selisih IPM
5100150501170,0.65,&lt;b&gt;BALI&lt;/b&gt;,2017,,[Metode Baru] Selisih IPM
5100150501180,0.47,&lt;b&gt;BALI&lt;/b&gt;,2018,,[Metode Baru] Selisih IPM
5100150501190,0.61,&lt;b&gt;BALI&lt;/b&gt;,2019,,[Metode Baru] Selisih IPM
5100150501200,0.12,&lt;b&gt;BALI&lt;/b&gt;,2020,,[Metode Baru] Selisih IPM
5100150501210,0.19,&lt;b&gt;BALI&lt;/b&gt;,2021,,[Metode Baru] Selisih IPM
5100150501220,0.75,&lt;b&gt;BALI&lt;/b&gt;,2022,,[Metode Baru] Selisih IPM
5200150501170,0.77,&lt;b&gt;NUSA TENGGARA BARAT&lt;/b&gt;,2017,,[Metode Baru] Selisih IPM
5200150501180,0.72,&lt;b&gt;NUSA TENGGARA BARAT&lt;/b&gt;,2018,,[Metode Baru] Selisih IPM
5200150501190,0.84,&lt;b&gt;NUSA TENGGARA BARAT&lt;/b&gt;,2019,,[Metode Baru] Selisih IPM
5200150501200,0.11,&lt;b&gt;NUSA TENGGARA BARAT&lt;/b&gt;,2020,,[Metode Baru] Selisih IPM
5200150501210,0.4,&lt;b&gt;NUSA TENGGARA BARAT&lt;/b&gt;,2021,,[Metode Baru] Selisih IPM
5200150501220,0.81,&lt;b&gt;NUSA TENGGARA BARAT&lt;/b&gt;,2022,,[Metode Baru] Selisih IPM
5300150501170,0.6,&lt;b&gt;NUSA TENGGARA TIMUR&lt;/b&gt;,2017,,[Metode Baru] Selisih IPM
5300150501180,0.66,&lt;b&gt;NUSA TENGGARA TIMUR&lt;/b&gt;,2018,,[Metode Baru] Selisih IPM
5300150501190,0.84,&lt;b&gt;NUSA TENGGARA TIMUR&lt;/b&gt;,2019,,[Metode Baru] Selisih IPM
5300150501200,-0.04,&lt;b&gt;NUSA TENGGARA TIMUR&lt;/b&gt;,2020,,[Metode Baru] Selisih IPM
5300150501210,0.09,&lt;b&gt;NUSA TENGGARA TIMUR&lt;/b&gt;,2021,,[Metode Baru] Selisih IPM
5300150501220,0.62,&lt;b&gt;NUSA TENGGARA TIMUR&lt;/b&gt;,2022,,[Metode Baru] Selisih IPM
6100150501170,0.38,&lt;b&gt;KALIMANTAN BARAT&lt;/b&gt;,2017,,[Metode Baru] Selisih IPM
6100150501180,0.72,&lt;b&gt;KALIMANTAN BARAT&lt;/b&gt;,2018,,[Metode Baru] Selisih IPM
6100150501190,0.67,&lt;b&gt;KALIMANTAN BARAT&lt;/b&gt;,2019,,[Metode Baru] Selisih IPM
6100150501200,0.01,&lt;b&gt;KALIMANTAN BARAT&lt;/b&gt;,2020,,[Metode Baru] Selisih IPM
