id,values,jenjang,tahun,data_title
4179701160,77.77,SMK,2016,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
4179701170,91.97,SMK,2017,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
4179701180,92.21,SMK,2018,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
1179701160,68.15,SD,2016,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
1179701170,86.79,SD,2017,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
1179701180,87.11,SD,2018,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
2179701160,69.75,SMP,2016,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
2179701170,86.74,SMP,2017,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
2179701180,87.04,SMP,2018,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
3179701160,73.97,SMA,2016,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
3179701170,89.51,SMA,2017,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
3179701180,89.85,SMA,2018,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak 
