id,values,kuantil,tahun,data_title
1146501150,99.22,Kuintil 1,2015,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
1146501160,99.18,Kuintil 1,2016,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
1146501170,99.23,Kuintil 1,2017,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
1146501180,99.35,Kuintil 1,2018,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
1146501190,99.49,Kuintil 1,2019,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
1146501200,99.54,Kuintil 1,2020,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
1146501210,99.56,Kuintil 1,2021,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
1146501220,99.67,Kuintil 1,2022,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
2146501150,99.64,Kuintil 2,2015,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
2146501160,99.71,Kuintil 2,2016,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
2146501170,99.7,Kuintil 2,2017,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
2146501180,99.72,Kuintil 2,2018,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
2146501190,99.81,Kuintil 2,2019,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
2146501200,99.79,Kuintil 2,2020,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
2146501210,99.79,Kuintil 2,2021,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
2146501220,99.75,Kuintil 2,2022,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
3146501150,99.76,Kuintil 3,2015,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
3146501160,99.81,Kuintil 3,2016,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
3146501170,99.74,Kuintil 3,2017,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
3146501180,99.76,Kuintil 3,2018,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
3146501190,99.84,Kuintil 3,2019,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
3146501200,99.84,Kuintil 3,2020,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
3146501210,99.81,Kuintil 3,2021,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
3146501220,99.81,Kuintil 3,2022,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
4146501150,99.79,Kuintil 4,2015,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
4146501160,99.74,Kuintil 4,2016,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
4146501170,99.77,Kuintil 4,2017,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
4146501180,99.79,Kuintil 4,2018,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
4146501190,99.82,Kuintil 4,2019,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
4146501200,99.83,Kuintil 4,2020,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
4146501210,99.86,Kuintil 4,2021,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
4146501220,99.87,Kuintil 4,2022,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
5146501150,99.87,Kuintil 5,2015,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
5146501160,99.85,Kuintil 5,2016,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
5146501170,99.8,Kuintil 5,2017,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
5146501180,99.86,Kuintil 5,2018,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
5146501190,99.83,Kuintil 5,2019,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
5146501200,99.87,Kuintil 5,2020,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
5146501210,99.87,Kuintil 5,2021,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
5146501220,99.88,Kuintil 5,2022,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Kelompok Pendapatan
