id,values,area,tahun,data_title
1146101110,95.68,Perkotaan,2011,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
1146101120,96.01,Perkotaan,2012,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
1146101130,96.63,Perkotaan,2013,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
1146101140,97.27,Perkotaan,2014,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
1146101150,97.43,Perkotaan,2015,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
1146101160,97.53,Perkotaan,2016,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
1146101170,97.57,Perkotaan,2017,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
1146101180,97.56,Perkotaan,2018,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
1146101190,97.71,Perkotaan,2019,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
1146101200,97.81,Perkotaan,2020,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
1146101210,97.82,Perkotaan,2021,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
1146101220,97.91,Perkotaan,2022,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
2146101110,89.1,Perdesaan,2011,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
2146101120,89.84,Perdesaan,2012,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
2146101130,91.12,Perdesaan,2013,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
2146101140,92.88,Perdesaan,2014,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
2146101150,92.91,Perdesaan,2015,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
2146101160,93.03,Perdesaan,2016,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
2146101170,93.11,Perdesaan,2017,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
2146101180,93.3,Perdesaan,2018,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
2146101190,93.56,Perdesaan,2019,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
2146101200,93.64,Perdesaan,2020,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
2146101210,93.65,Perdesaan,2021,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
2146101220,94.21,Perdesaan,2022,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
3146101110,92.44,Perkotaan+Perdesaan,2011,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
3146101120,92.97,Perkotaan+Perdesaan,2012,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
3146101130,93.92,Perkotaan+Perdesaan,2013,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
3146101140,95.12,Perkotaan+Perdesaan,2014,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
3146101150,95.22,Perkotaan+Perdesaan,2015,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
3146101160,95.38,Perkotaan+Perdesaan,2016,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
3146101170,95.5,Perkotaan+Perdesaan,2017,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
3146101180,95.66,Perkotaan+Perdesaan,2018,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
3146101190,95.9,Perkotaan+Perdesaan,2019,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
3146101200,96.0,Perkotaan+Perdesaan,2020,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
3146101210,96.04,Perkotaan+Perdesaan,2021,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
3146101220,96.35,Perkotaan+Perdesaan,2022,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Daerah Tempat Tinggal
