id,values,jenjang,tahun,data_title
1141901150,77,SD,2015,Persentase SD/MI berakreditasi minimal B dan Persentase SMP/MTS berakreditasi minimal B
1141901160,80,SD,2016,Persentase SD/MI berakreditasi minimal B dan Persentase SMP/MTS berakreditasi minimal B
2141901150,78,SMP,2015,Persentase SD/MI berakreditasi minimal B dan Persentase SMP/MTS berakreditasi minimal B
2141901160,80,SMP,2016,Persentase SD/MI berakreditasi minimal B dan Persentase SMP/MTS berakreditasi minimal B
3141901150,78,SMA,2015,Persentase SD/MI berakreditasi minimal B dan Persentase SMP/MTS berakreditasi minimal B
3141901160,81,SMA,2016,Persentase SD/MI berakreditasi minimal B dan Persentase SMP/MTS berakreditasi minimal B
