id,values,kuantil,tahun,data_title
1145901150,90.0,Kuintil 1,2015,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
1145901160,90.26,Kuintil 1,2016,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
1145901170,90.46,Kuintil 1,2017,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
1145901180,90.85,Kuintil 1,2018,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
1145901190,91.35,Kuintil 1,2019,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
1145901200,91.88,Kuintil 1,2020,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
1145901210,92.02,Kuintil 1,2021,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
1145901220,93.04,Kuintil 1,2022,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
2145901150,93.76,Kuintil 2,2015,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
2145901160,94.37,Kuintil 2,2016,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
2145901170,94.55,Kuintil 2,2017,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
2145901180,94.73,Kuintil 2,2018,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
2145901190,95.05,Kuintil 2,2019,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
2145901200,95.18,Kuintil 2,2020,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
2145901210,95.17,Kuintil 2,2021,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
2145901220,95.71,Kuintil 2,2022,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
3145901150,95.72,Kuintil 3,2015,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
3145901160,95.84,Kuintil 3,2016,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
3145901170,95.91,Kuintil 3,2017,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
3145901180,96.16,Kuintil 3,2018,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
3145901190,96.34,Kuintil 3,2019,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
3145901200,96.43,Kuintil 3,2020,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
3145901210,96.53,Kuintil 3,2021,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
3145901220,96.75,Kuintil 3,2022,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
4145901150,97.15,Kuintil 4,2015,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
4145901160,96.94,Kuintil 4,2016,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
4145901170,96.77,Kuintil 4,2017,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
4145901180,97.05,Kuintil 4,2018,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
4145901190,97.26,Kuintil 4,2019,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
4145901200,97.23,Kuintil 4,2020,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
4145901210,97.3,Kuintil 4,2021,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
4145901220,97.49,Kuintil 4,2022,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
5145901150,98.64,Kuintil 5,2015,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
5145901160,98.71,Kuintil 5,2016,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
5145901170,98.66,Kuintil 5,2017,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
5145901180,98.78,Kuintil 5,2018,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
5145901190,98.82,Kuintil 5,2019,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
5145901200,98.65,Kuintil 5,2020,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
5145901210,98.63,Kuintil 5,2021,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
5145901220,98.33,Kuintil 5,2022,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Kelompok Pendapatan
