id,values,provinsi,tahun,data_title
9999146201150,99.67,INDONESIA,2015,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
9999146201160,99.67,INDONESIA,2016,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
9999146201170,99.66,INDONESIA,2017,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
9999146201180,99.71,INDONESIA,2018,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
9999146201190,99.76,INDONESIA,2019,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
9999146201200,99.78,INDONESIA,2020,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
9999146201210,99.78,INDONESIA,2021,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
9999146201220,99.8,INDONESIA,2022,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1100146201150,99.97,ACEH,2015,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1100146201160,99.92,ACEH,2016,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1100146201170,99.96,ACEH,2017,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1100146201180,99.92,ACEH,2018,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1100146201190,99.98,ACEH,2019,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1100146201200,99.98,ACEH,2020,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1100146201210,99.99,ACEH,2021,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1100146201220,99.94,ACEH,2022,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1200146201150,99.86,SUMATERA UTARA,2015,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1200146201160,99.79,SUMATERA UTARA,2016,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1200146201170,99.8,SUMATERA UTARA,2017,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1200146201180,99.84,SUMATERA UTARA,2018,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1200146201190,99.88,SUMATERA UTARA,2019,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1200146201200,99.9,SUMATERA UTARA,2020,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1200146201210,99.9,SUMATERA UTARA,2021,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1200146201220,99.92,SUMATERA UTARA,2022,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1300146201150,99.91,SUMATERA BARAT,2015,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1300146201160,99.93,SUMATERA BARAT,2016,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1300146201170,99.86,SUMATERA BARAT,2017,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1300146201180,99.79,SUMATERA BARAT,2018,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1300146201190,99.89,SUMATERA BARAT,2019,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1300146201200,99.88,SUMATERA BARAT,2020,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1300146201210,99.89,SUMATERA BARAT,2021,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1300146201220,99.87,SUMATERA BARAT,2022,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1400146201150,99.91,RIAU,2015,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1400146201160,99.89,RIAU,2016,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1400146201170,99.91,RIAU,2017,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1400146201180,99.88,RIAU,2018,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1400146201190,99.89,RIAU,2019,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1400146201200,99.94,RIAU,2020,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1400146201210,99.93,RIAU,2021,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1400146201220,99.92,RIAU,2022,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1500146201150,99.85,JAMBI,2015,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1500146201160,99.91,JAMBI,2016,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1500146201170,99.88,JAMBI,2017,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1500146201180,99.95,JAMBI,2018,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1500146201190,99.96,JAMBI,2019,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1500146201200,99.92,JAMBI,2020,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1500146201210,99.93,JAMBI,2021,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1500146201220,99.9,JAMBI,2022,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1600146201150,99.9,SUMATERA SELATAN,2015,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1600146201160,99.9,SUMATERA SELATAN,2016,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1600146201170,99.85,SUMATERA SELATAN,2017,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1600146201180,99.9,SUMATERA SELATAN,2018,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1600146201190,99.92,SUMATERA SELATAN,2019,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
1600146201200,99.94,SUMATERA SELATAN,2020,Angka Melek Huruf Penduduk Umur 15-24 Tahun Menurut Provinsi
