id,values,jenis_kelamin,tahun,data_title
1146801150,98.46,Laki-laki,2015,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
1146801160,98.59,Laki-laki,2016,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
1146801170,98.59,Laki-laki,2017,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
1146801180,98.7,Laki-laki,2018,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
1146801190,98.79,Laki-laki,2019,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
1146801200,98.77,Laki-laki,2020,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
1146801210,98.85,Laki-laki,2021,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
1146801220,98.83,Laki-laki,2022,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
2146801150,96.96,Perempuan,2015,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
2146801160,97.26,Perempuan,2016,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
2146801170,97.27,Perempuan,2017,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
2146801180,97.44,Perempuan,2018,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
2146801190,97.64,Perempuan,2019,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
2146801200,97.79,Perempuan,2020,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
2146801210,98.03,Perempuan,2021,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
2146801220,98.15,Perempuan,2022,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
3146801150,97.71,Laki-laki + Perempuan,2015,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
3146801160,97.93,Laki-laki + Perempuan,2016,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
3146801170,97.93,Laki-laki + Perempuan,2017,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
3146801180,98.07,Laki-laki + Perempuan,2018,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
3146801190,98.22,Laki-laki + Perempuan,2019,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
3146801200,98.29,Laki-laki + Perempuan,2020,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
3146801210,98.44,Laki-laki + Perempuan,2021,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
3146801220,98.49,Laki-laki + Perempuan,2022,Angka Melek Huruf Penduduk Umur 15-59 Tahun Menurut Jenis Kelamin
